ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Option A,Option B,Option C,Option D,Option E,Correct Answer,Difficulty Level
Q034,Arithmetic,Allegations,MCQ,"A man purchased a table and a chair for ₹2000. He sold the table at a profit of 20% and the chair at a profit of 40%. In this way, his total profit was 25%. Find the cost price (in ₹) of the table.",,1500,900,1000,800,,A,Easy
Q035,Arithmetic,Allegations,MCQ,A dishonest shopkeeper purchased milk at ₹100 per litre and mixed 10 liters of water in it. By selling the mixture at the rate of ₹100 per litre he earns a profit of 25%. The quantity of the amount of the mixture that he had was:,,50 liters, 40 liters, 25 liters, 60 liters,,A,Easy
Q036,Arithmetic,Allegations,MCQ,A tank has a capacity of 10 gallons and is full of alcohol. 2 gallons of alcohol are drawn out and the tank is again filled with water. This process is repeated 5 times. Find out how much alcohol is left in the resulting mixture finally?,,2048/625 gallons, 3346/625 gallons, 2048/3125 gallons, 625 gallons,,A,Easy
Q037,Arithmetic,Allegations,MCQ,"A vessel is full of milk. 1/4 of the milk is taken out and the vessel is filled with water. If the process is repeated 4 times and 100 liters of milk is finally left in the vessel, what is the capacity of the vessel?",,25600/243 liters, 2461/81 liters, 25600/81 liters, 30 liters,,C,Easy
Q038,Arithmetic,Allegations,MCQ,In what ratio should two qualities of tea having the rates of ₹40 per kg and ₹30 per kg be mixed in order to get a mixture that would have a rate of ₹35 per kg?,,01:02, 1 : 1, 1 : 3, 3 : 1,,B,Easy
Q039,Arithmetic,Allegations,MCQ,In what ratio should water be mixed with soda costing ₹12 per litre so as to make a profit of 50% by selling the diluted liquid at ₹15 per litre?,,10:01, 5 : 1, 1:5, 6:1,,C,Moderate
Q040,Arithmetic,Allegations,MCQ,A sum of ₹4 is made up of 20 coins that are either 10 paise coins or 60 paise coins. Find out how many 20 paise coins are there in the total amount.,,10,13,16,15,,C,Moderate
Q041,Arithmetic,Allegations,MCQ,"Pinku a dishonest grocer professes to sell pure butter at cost price, but he mixes it with adulterated fat and thereby gains 25%. Find the percentage of adulterated fat in the mixture assuming that adulterated fat is freely available.",,20%,25%,33.33%,40%,,A,Moderate
Q042,Arithmetic,Allegations,MCQ,A mixture of 75 liters of alcohol and water contains 20% of water. How much water must be added to the above mixture to make the water 25% of the resulting mixture?,,5 liters, 1.5 liter, 2 liters, 2.5 liters,,A,Moderate
Q043,Arithmetic,Allegations,MCQ,A mixture of 40 liters of milk and water contains 10% water. How much water should be added to it to increase the percentage of water to 25%?,,5 liters, 6 liters, 2.5 liters, 8 liters,,D,Moderate
Q044,Arithmetic,Allegations,MCQ,Two vessels contain a mixture of spirit and water. In the first vessel the ratio of spirit to water is 8 : 3 and in the second vessel the ratio is 5 : 1. A 35 litre cask is filled from these vessels so as to contain a mixture of spirit and water in the ratio of 4 :1. How many liters are taken from the first vessel?,,11 liters, 22 liters, 16.5 liters, 17.5 liters,,A,Moderate
Q045,Arithmetic,Allegations,MCQ,"There are two mixtures of milk and water, the quantity of milk in them being 20% and 80% of the mixture. If 2 liters of the first are mixed with three liters of the second, what will be the ratio of milk to water in the new mixture?",,11:12, 11 : 9, 19 : 11, 14 : 11,,D,Moderate
Q046,Arithmetic,Allegations,MCQ,There are two kinds of alloys of silver and copper. The first alloy contains silver and copper such that 93.33% of it is silver. In the second alloy there is 86.66% silver. What weight of the first alloy should be mixed with some weight of the second alloy so as to make a 100 kg mass containing 90% of silver?,,55 kg, 50 kg, 70 kg, 25 kg,,B,Moderate
Q047,Arithmetic,Allegations,MCQ,"Two buckets of equal capacity are full of a mixture of milk and water. In the first, the ratio of milk to water is 1 : 7 and in the second it is 3 : 8. Now both the mixtures are mixed in a bigger container. What is the resulting ratio of milk to water?",,35 : 141, 42 : 49, 43 : 41, 41 : 53,,A,Moderate
Q048,Arithmetic,Allegations,MCQ,"In the Delhi zoo, there are lions and there are hens. If the heads are counted, there are 180, while the legs are 448. What will be the number of lions in the zoo?",,36,88,44,136,,C,Difficult
Q049,Arithmetic,Allegations,MCQ,"A bonus of ₹1,00,000 was divided among 500 workers of a factory. Each male worker gets 500 rupees and each female worker gets 100 rupees. Find the number of male workers in the factory.",,250,375,290,125,,D,Difficult
Q050,Arithmetic,Allegations,MCQ,"What will be the ratio of honey and water in the final solution formed by mixing honey and water that are present in three vessels of equal capacity in the ratios 4:1, 5:2 and 6:1 respectively?",,166:22:00, 83 : 22, 83 : 44, None of these,,B,Difficult
Q051,Arithmetic,Allegations,MCQ,"A mixture worth ₹80 a kg is formed by mixing two types of flour, one costing 50 per kg while the other 110 per kg. In what proportion must they have been mixed?",,01:01, 1 : 2, 2:1, 1 : 3,,A,Difficult
Q052,Arithmetic,Allegations,MCQ,"A 10 percent gain is made by selling the mixture of two types of milk at ₹48 per kg. If the type costing ₹61 per kg was mixed with 100 kg of the other, how many kilograms of the former was mixed?",,38 kg, 30.5 kg, 19 kg, Cannot be determined,,D,Difficult
Q053,Arithmetic,Allegations,MCQ,A man buys milk at ₹85 per liter and dilutes it with water. He sells the mixture at the same rate and thus gains 11.11%. Find the quantity of water mixed by him in every liter of milk.,,0.111 liters, 0.909 liters, 0.1 litre, 0.125 liters,,A,Difficult
Q054,Arithmetic,Allegations,MCQ,In what proportion must water be mixed with honey so as to gain 10% by selling the mixture at the cost price of the honey? (Assume that water is freely available),,01:04, 1 : 5, 1 : 6, 1 : 10,,D,Difficult
Q055,Arithmetic,Allegations,MCQ,A milkman stole milk from a can that contained 50% of milk and he replaced what he had stolen with milk having 20% milk. The bottle then contained only 25% milk. How much of the bottle did he steal?,,80%,83.33%,85.71%,88.88%,,B,Difficult
Q056,Arithmetic,Allegations,MCQ,"Shruti possessing ₹10,000, lent a part of it at 5% simple interest and the remaining at 20% simple interest. Her total income after 5 years was ₹7500. Find the sum lent at 20% rate.",,₹1666.67, ₹6666.67, ₹3333.33, None of these,,B,Difficult
Q057,Arithmetic,Allegations,MCQ,"Sharman decides to travel 100 kilometres in 8 hours partly by foot and partly on a bicycle, his speed on foot being 10 km/h and that on bicycle being 20 km/h, what distance would he travel on foot?",,20 km, 30 km, 50 km, 60 km,,D,Difficult
Q058,Arithmetic,Profit and Loss,MCQ,"By selling a watch for `560, a shopkeeper incurs a loss of 20%. Find the cost price of the watch for the shopkeeper.",,600,700,610,640,,B,Very Easy
Q059,Arithmetic,Profit and Loss,MCQ,"By selling a cap for `29.75, a man gains 6.25%. What will be the CP of the cap?",,26,27.5,28,27.8,,C,Very Easy
Q060,Arithmetic,Profit and Loss,MCQ,A cellular phone when sold for `3808 fetches a profit of 12%. Find the cost price of the cellular phone.,,3190,3400,3260,3560,,B,Very Easy
Q061,Arithmetic,Profit and Loss,MCQ,"A machine costs `1025. If it is sold at a loss of 25%, what will be its cost price as a percentage of its selling price?",,125%,116.67%,120%,133.33%,,D,Very Easy
Q062,Arithmetic,Profit and Loss,MCQ,A shopkeeper sold goods for 1800 and made a profit of 20% in the process. Find his profit per cent if he had sold his goods for 1687.5.,,11.50%,10.50%,12.50%,6.25%,,C,Very Easy
Q063,Arithmetic,Profit and Loss,MCQ,"A tablet is sold for 6612.5 at a profit of 15%. What would have been the actual profit or loss on it, if it had been sold for 5380?",,370,410,480,340,,A,Very Easy
Q064,Arithmetic,Profit and Loss,MCQ,"A marble table when sold for 6400 gives a loss of 11.11% to the merchant who sells it. Calculate his loss or gain per cent, if he sells it for 7812.",,Loss of 8.625%, Profit of 8.5%, Loss of 8%, Profit of 7.5%,,B,Easy
Q065,Arithmetic,Profit and Loss,MCQ,"By selling bouquets for `69, a florist gains 15%. At what price should he sell the bouquets to gain 20% on the cost price?",,72,75,66,78,,A,Easy
Q066,Arithmetic,Profit and Loss,MCQ,"A shopkeeper bought 480 chocolates at 6 per dozen. If he sold all of them at 0.75 each, what was his profit per cent?",,50%, 33(1/3)%,75%,20%,,A,Easy
Q067,Arithmetic,Profit and Loss,MCQ,A feeding bottle is sold for `150. Sales tax accounts for one-fifth of this and profit one-third of the remainder. Find the cost price of the feeding bottle.,,72,80,90,76,,B,Easy
Q068,Arithmetic,Profit and Loss,MCQ,"An iron merchant makes a profit of 30% by selling iron at 26 per quintal. If he sells the iron at 22.50 per quintal, what is his profit per cent on the whole investment?",,12.50%,6.66%,7.50%,8%,,A,Easy
Q069,Arithmetic,Profit and Loss,MCQ,"The cost price of a shirt and a pair of trousers is `473. If the shirt costs 15% more than the trousers, find the cost price of the trouser.",,243,253,210,220,,D,Easy
Q070,Arithmetic,Profit and Loss,MCQ,A pet shop owner sells two puppies at the same price. On one he makes a profit of 25% and on the other he suffers a loss of 25%. Find his loss or gain per cent on the whole transaction.,,Gain of 6.25%, No profit no loss, Loss of 12.5%, loss of 6.25%,,D,Easy
Q071,Arithmetic,Profit and Loss,MCQ,"The marked price of a table is `1200, which is 20% above the cost price. It is sold at a discount of 10% on the marked price. find the profit per cent.",,10%,8%,7.50%,6%,,B,Easy
Q072,Arithmetic,Profit and Loss,MCQ,125 toffees cost `75. Find the cost of one million toffees if there is a discount of 40% on the selling price for this quantity.,,3,0,0,3,"20,000, 3,60,000, 4,00,000",C,Easy
Q073,Arithmetic,Profit and Loss,MCQ,"Mithilesh makes 750 articles at a cost of 60 paise per article. He fixes the selling price such that if only 600 articles are sold, he would have made a profit of 40% on the outlay. However, 120 articles got spoilt and he was able to sell 630 articles at this price. Find his actual profit percent as the percentage of total outlay assuming that the unsold articles are useless.",,42%,53%,47%,46%,,C,Moderate
Q074,Arithmetic,Profit and Loss,MCQ,"A manufacturer estimates that on inspection 12% of the articles he produces will be rejected. He accepts an order to supply 22,000 articles at `7.50 each. He estimates the profit on his outlay including the manufacturing of rejected articles, to be 20%. Find the cost of manufacturing each article.",,6,5.5,5,4.5,,B,Moderate
Q075,Arithmetic,Profit and Loss,MCQ,"The cost of setting up the type of a magazine is 1000. The cost of running the printing machine is 120 per 100 copies. The cost of paper, ink and so on is 60 paise per copy. The magazines are sold at `2.75 each. 900 copies are printed, but only 784 copies are sold. What is the sum to be obtained from advertisements to give a profit of 10% on the cost?",,730,720,726,736,,C,Moderate
Q076,Arithmetic,Profit and Loss,MCQ,"A tradesman fixed his selling price of goods at 30% above the cost price. He sells half the stock at this price, one-quarter of his stock at a discount of 15% on the original selling price and rest at a discount of 30% on the original selling price. Find the gain percent altogether.",,14.88%,15.38%,15.58%,16.38%,,B,Moderate
Q077,Arithmetic,Profit and Loss,MCQ,A tradesman marks an article at 205 more than the cost price. He allows a discount of 10% on the marked price. Find the profit percent if the cost price is x.,,x/x (18450 - 10), [ ] (18450 - 10 - x)/x, x/x (18450 - 100), 18450/100 x/x -,,B,Moderate
Q078,Arithmetic,Profit and Loss,MCQ,Dolly goes to a shop to purchase a doll priced at `400. She is offered 4 discount options by the shopkeeper. Which of these options should she opt for to gain maximum advantage of the discount offered?,,Single discount of 30%, 2 successive discounts of 15% each, 2 successive discounts of 20% and 10%, 2 successive discounts of 20% and 12%,,A,Moderate
Q079,Arithmetic,Profit and Loss,MCQ,A dishonest dealer marks up the price of his goods by 20% and gives a discount of 10% to the customer. He also uses a 900 gram weight instead of a 1 kilogram weight. Find his percentage profit due to these maneuvers.,,8%,12%,20%,16%,,C,Moderate
Q080,Arithmetic,Profit and Loss,MCQ,"A dishonest dealer marks up the price of his goods by 20% and gives a discount of 10% to the customer. Besides, he also cheats both his supplier and his buyer by 100 grams while buying or selling 1 kilogram. Find the percentage profit earned by the shopkeeper.",,20%,25%,32%,27.50%,,C,Moderate
Q081,Arithmetic,Profit and Loss,MCQ,"For Question 8, if it is known that the shopkeeper takes a discount of 10% from his supplier and he disregards this discount while marking up (i.e. he marks up at the undiscounted price), find the percentage profit for the shopkeeper if there is no other change from the previous problem.",,32%,36.66%,40.33%,46.66%,,D,Moderate
Q082,Arithmetic,Profit and Loss,Case Study,"If Sardar Preetpal Singh’s taxi is 14 years old and has a fuel efficiency of 12 km/litre of fuel, find his profit in a run from Howrah Station to Park Street (a distance of 7 km) if the stoppage time is 8 minutes. (Assume he owns the taxi)","The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following:",32.25,40.85,34.25,42.85,,D,Difficult
Q083,Arithmetic,Profit and Loss,Case Study,"For question 1, Sardar Preetpal Singh’s percentage profit is","The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following:",391.42%,380%,489.71%,438.23%,,C,Difficult
Q084,Arithmetic,Profit and Loss,Case Study,"For the same journey as in question 1 if on another day, with heavier traffic, the waiting time increases to 13 minutes, find the percentage change in the profit","The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following:",12%,14%,13%,16%,,B,Difficult
Q085,Arithmetic,Profit and Loss,Case Study,"For Question 3, if Sardar Preetpal Singh idled his taxi for 7 minutes and if the fuel consumption during idling is 50 ml per minute, find the percentage decrease in the profits","The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following:",10.74%,11.21%,10.87%,9.94%,,A,Difficult
Q086,Arithmetic,Profit and Loss,Case Study,The maximum revenue has been generated by which taxi?,"The charges of a taxi journey are decided on the basis of the distance covered and the amount of the waiting time during a journey. Distance wise, for the first 2 kilometres (or any part thereof) of a journey, the metre reading is fixed at ` 10 (if there is no waiting). Also, if a taxi is boarded and it does not move, then the metre reading is again fixed at ` 10 for the first ten minutes of waiting. For every additional kilometre the metre reading changes by ` 5 (with changes in the metre reading being in multiples of ` 1 for every 200 metres travelled). For every additional minute of waiting, the metre reading changes by ` 1. (no account is taken of a fraction of a minute waited for or of a distance less than 200 metres travelled). The net metre reading is a function of the amount of time waited for and the distance travelled. The cost of running a taxi depends on the fuel efficiency (in terms of mileage/litre), depreciation (straight line over 10 years) and the driver’s salary (not taken into account if the taxi is self owned). Depreciation is ` 100 per day everyday of the first 10 years. This depreciation has to be added equally to the cost for every customer while calculating the profit for a particular trip. Similarly, the driver’s daily salary is also apportioned equally across the customers of the particular day. Assume, for simplicity, that there are 50 customers every day (unless otherwise mentioned). The cost of fuel is ` 15 per litre (unless otherwise stated). The customer has to pay 20% over the metre reading while settling his bill. Also assume that there is no fuel cost for waiting time (unless otherwise stated). Based on the above facts, answer the following: Directions for questions 5 to 10: Answer questions based on this additional information: Mr. Vikas Verma owns a fleet of 3 taxis, where he pays his driver ` 3000 per month. He also insists on keeping an attendant for ` 1500 per month in each of his taxis. Idling requires 50 ml of fuel for every minute of idling. For a moving taxi, the fuel consumption is given by 12 km/per litre. On a particular day, he received the following reports about the three taxis.",A, B, C, Cannot be determined,,D,Difficult
